id,State,dummy,263,270,277,284
0,Washington,0,62.1,74.8,83.4,101.6
1,Illinois,0,150.9,160.1,169.4,178.7
2,California,0,394.8,480.6,593.8,738.5
3,Arizona,0,214.8,227.2,238.3,247.6
4,Massachusetts,0,211.2,232.2,253.1,273.2
5,Wisconsin,0,43.8,42.1,40.4,38.7
6,Texas,0,170.5,162,153.6,145.6
7,Nebraska,0,7,6.3,5.7,5.2
8,Utah,0,10.5,11.7,12.3,13.3
9,Oregon,0,35.6,41,47.2,55
10,Florida,0,384.8,454.4,533.6,622.3
11,New York,0,199.1,199.6,199.8,199.6
12,Rhode Island,0,8.8,9,9.2,9.4
13,Georgia,0,50.2,52.1,54.9,58.4
14,New Hampshire,0,15.6,15.2,14.9,14.6
15,North Carolina,0,57.5,56.2,54.9,53.6
16,New Jersey,0,109.5,109.2,108.5,107.6
17,Colorado,0,204.2,228.2,242.4,272.8
18,Maryland,0,65.3,70.5,78.4,87.6
19,Nevada,0,83.8,83.7,83.1,81.9
20,Tennessee,0,37.1,35.9,34.3,32.8
21,Hawaii,0,4.4,4.1,3.8,3.5
22,Indiana,0,38.8,36.1,33.7,31.5
23,Kentucky,0,40.2,39,37.8,36.5
24,Minnesota,0,21.3,19.8,18.7,17.6
25,Oklahoma,0,48.7,43.6,38.8,34.5
26,Pennsylvania,0,189.5,189.4,188.4,186.8
27,South Carolina,0,40.2,40.7,42.5,44.7
28,District of Columbia,0,4.9,5.2,5.9,6.5
29,Kansas,0,10.3,9.4,8.6,7.9
30,Missouri,0,40.5,38.6,36.6,34.5
31,Vermont,0,3.9,3.6,3.3,3.1
32,Virginia,0,48.2,47.7,47.4,47
33,Connecticut,0,81.7,93.6,106.7,121.6
34,Iowa,0,17,15.8,14.8,13.9
35,Louisiana,0,17.2,16.3,15.3,14.5
36,Ohio,0,84.8,82.1,79.6,77.6
37,Michigan,0,185.7,191.1,195.6,199.3
38,South Dakota,0,8.9,8.1,7.6,7.1
39,Arkansas,0,32.3,29.5,27.1,24.8
40,Delaware,0,4.4,3.7,3.2,2.7
41,Mississippi,0,31.2,30.4,29.9,29.5
42,New Mexico,0,36.6,37.8,39.1,40.4
43,North Dakota,0,3.3,2.9,2.5,2.2
44,Wyoming,0,3.3,3.6,3.4,3.4
45,Alaska,0,3,2.8,2.6,2.4
46,Maine,0,41.4,46.1,56.2,66.4
47,Alabama,0,14.7,15.2,16.6,18.8
48,Idaho,0,17.6,17.7,17.8,17.9
49,Montana,0,7.7,7.3,6.9,6.7
50,Puerto Rico,0,32.5,37,42.6,50.5
51,Virgin Islands,0,0,0,0,0
53,West Virginia,0,21.2,23.5,26.8,31.7
US,US,0,3652.5,3893.4,4171.1,4523.8
