id,State,dummy,193,200,207,214
0,Washington,0,10.1,11.5,13.5,14.8
1,Illinois,0,16.4,16.4,16.4,16.4
2,California,0,31.7,32.5,33.8,35.8
3,Arizona,0,97.4,103.8,110.5,117.6
4,Massachusetts,0,19.5,18,16.7,15.5
5,Wisconsin,0,68.9,74.1,80.4,88
6,Texas,0,400.6,424.6,447.1,469.9
7,Nebraska,0,68.7,78.8,89.8,101.7
8,Utah,0,19.2,25.5,34.4,47.2
9,Oregon,0,2.4,2.4,2.4,2.3
10,Florida,0,71,70.1,71.5,74.2
11,New York,0,57.5,61,65.1,69.8
12,Rhode Island,0,0.7,0.5,0.5,0.4
13,Georgia,0,27.3,25.7,22.7,21.1
14,New Hampshire,0,3.9,3.5,3.4,3.4
15,North Carolina,0,67,89.4,119.8,161
16,New Jersey,0,47.9,48.9,49.9,50.9
17,Colorado,0,23.4,26.6,31.2,38
18,Maryland,0,31.7,36.6,43.1,51
19,Nevada,0,40.4,63,101.8,170
20,Tennessee,0,53.2,52,50.9,49.7
21,Hawaii,0,0,0,0,0
22,Indiana,0,61.2,61,60.8,60.7
23,Kentucky,0,17.1,16.7,16.1,16
24,Minnesota,0,22.7,20.4,18.2,16.3
25,Oklahoma,0,118.9,125,131,136.8
26,Pennsylvania,0,72.3,71.8,71.5,71.3
27,South Carolina,0,24.9,25,25.4,25.8
28,District of Columbia,0,0.7,0.4,0.3,0.2
29,Kansas,0,35.3,46.6,63,87.3
30,Missouri,0,90.6,97.1,103.9,111
31,Vermont,0,0.2,0.4,0.4,0.5
32,Virginia,0,36.6,37.5,38.8,40.6
33,Connecticut,0,3.9,3.3,2.8,2.4
34,Iowa,0,71.3,82.9,94.9,107.9
35,Louisiana,0,27.6,27.6,27.7,27.7
36,Ohio,0,69.9,78.1,87.6,103.3
37,Michigan,0,91.5,102.5,114.9,128.9
38,South Dakota,0,42.7,49.4,57.1,66.2
39,Arkansas,0,98.4,148.5,225.8,342.8
40,Delaware,0,1.7,1.4,1.2,1
41,Mississippi,0,30.8,31.4,32,32.5
42,New Mexico,0,7.6,7.5,8.7,10
43,North Dakota,0,2.4,2,1.7,1.4
44,Wyoming,0,3.5,3.3,3.1,3
45,Alaska,0,0,0,0,0
46,Maine,0,1.8,1.5,1.3,1.1
47,Alabama,0,31.6,31.5,32,33.6
48,Idaho,0,1.1,1.1,1.1,1.1
49,Montana,0,20.8,22.7,24.6,26.6
50,Puerto Rico,0,6.9,6.1,5.9,5.8
51,Virgin Islands,0,0,0,0,0
53,West Virginia,0,49.4,67.3,91.8,124.8
US,US,0,2202.1,2435,2748.8,3185.4
