id,State,dummy,137,144,151,158
0,Washington,0,7,6.8,15.2,32.4
1,Illinois,0,48.5,80.9,140.1,220.4
2,California,0,89.8,90.2,90.8,91.7
3,Arizona,0,212.6,324.6,478.2,749.6
4,Massachusetts,0,107.5,194.2,286.4,460.1
5,Wisconsin,0,70.6,103.2,148.2,227.1
6,Texas,0,139.9,157.2,177.3,199.3
7,Nebraska,0,46.9,56.9,67.1,85.6
8,Utah,0,7.8,9.2,11,14.4
9,Oregon,0,5.9,6.3,8.6,12.2
10,Florida,0,95.8,92.6,89.8,87.1
11,New York,0,49.9,48.1,46.4,44.7
12,Rhode Island,0,2,1.9,1.9,1.8
13,Georgia,0,46.8,52.4,63.5,69.1
14,New Hampshire,0,3.8,3.3,2.8,2.4
15,North Carolina,0,287.5,432.9,635.5,975
16,New Jersey,0,42.3,39.1,36.1,33.3
17,Colorado,0,29.2,26.9,25.3,24.2
18,Maryland,0,17.5,25.2,39.5,74.6
19,Nevada,0,14.5,20.5,27.6,41.1
20,Tennessee,0,105.6,127.1,158.3,195.7
21,Hawaii,0,0,0,0,0
22,Indiana,0,68.4,77.8,92.4,113.5
23,Kentucky,0,5.5,4.8,4.3,3.8
24,Minnesota,0,116.3,137.7,164.4,197.2
25,Oklahoma,0,229.7,316,441.2,727.1
26,Pennsylvania,0,104.4,108.5,112.9,117.3
27,South Carolina,0,20.7,19.2,18.4,17.9
28,District of Columbia,0,0,0,0,0
29,Kansas,0,90.5,154.7,269.8,479.4
30,Missouri,0,150.9,187.8,245.6,393.3
31,Vermont,0,0,0,0,0
32,Virginia,0,59.3,64.4,69.6,75.1
33,Connecticut,0,11.9,10.6,9.6,8.6
34,Iowa,0,32.9,61.7,115.5,224.3
35,Louisiana,0,31.9,30.7,29.9,29.5
36,Ohio,0,124.8,137.1,153.3,173.6
37,Michigan,0,68.2,73.2,78.9,84.8
38,South Dakota,0,57.2,68.3,101.4,187.2
39,Arkansas,0,69,103.7,155.4,233.1
40,Delaware,0,16.1,20.8,29,42.1
41,Mississippi,0,66.6,114.8,178.1,269.5
42,New Mexico,0,3.8,4.4,5.5,7
43,North Dakota,0,60.1,98.3,154.9,236.2
44,Wyoming,0,16.7,28.4,49.8,86.4
45,Alaska,0,4.7,4.8,5.3,5.5
46,Maine,0,2.9,3.3,3.7,4.4
47,Alabama,0,45.4,57.1,67.7,88.6
48,Idaho,0,6.9,9.1,12.4,17.3
49,Montana,0,5.9,5.5,7.8,11.2
50,Puerto Rico,0,23.1,24.8,26.8,31.3
51,Virgin Islands,0,0,0,0,0
53,West Virginia,0,28.6,32.8,38.3,54.9
US,US,0,2953.8,3859.7,5191.7,7562.2
