,State,Model Name,Mean_Similarity,Count_Similarity,rank
1153,Massachusetts,FH_MIT_ISOLAT_Mixtures,0.07668717948717949,39,39.0
765,Illinois,FH_OliverWyman_Navigator,0.066984,50,39.0
1837,Northern Mariana Islands,FH_LNQ_ens1,-0.017558695652173918,46,39.0
2577,Virginia,FH_UCLA_SuEIR,0.0799530612244898,49,39.0
992,Louisiana,FH_DDS_NBDS,0.1404,34,40.0
1481,Nevada,FH_CovidAnalytics_DELPHI,0.09707777777777778,72,40.0
1447,Nebraska,FH_MIT_ISOLAT_Mixtures,-0.04652820512820513,39,40.0
181,Arizona,FH_TTU_squider,0.11683278688524591,61,40.0
34,Alabama,FH_TTU_squider,0.11699180327868852,61,40.0
1284,Mississippi,FH_Covid19Sim_Simulator,0.1430980769230769,52,40.0
1227,Minnesota,FH_COVIDhub_4_week_ensemble,-0.006592307692307701,13,40.0
858,Iowa,FH_MIT_Cassandra,0.03489642857142858,28,40.0
2384,United States,FH_RobertWalraven_ESG,0.19316081081081082,74,40.0
1189,Michigan,FH_Google_Harvard_CPF,-0.011221153846153836,52,40.0
1161,Massachusetts,FH_TTU_squider,0.07634754098360655,61,40.0
2572,Virginia,FH_OliverWyman_Navigator,0.041522,50,40.0
2337,Texas,FH_TTU_squider,0.12055901639344262,61,40.0
1029,Maine,FH_BPagano_RtDriven,0.08811864406779661,59,40.0
1357,Missouri,FH_TTU_squider,0.05400655737704917,61,40.0
2429,Utah,FH_MUNI_ARIMA,0.009593103448275854,29,40.0
1383,Montana,FH_CovidAnalytics_DELPHI,0.1976513888888889,72,40.0
916,Kansas,FH_TTU_squider,-0.04441967213114753,61,40.0
734,Idaho,ensemble_SIkJa_RF,0.14895,30,40.0
233,Arkansas,FH_UMich_RidgeTfReg,0.029649152542372877,59,40.0
1088,Maryland,FH_Covid19Sim_Simulator,0.06963076923076923,52,40.0
2505,Virgin Islands,FH_CU_scenario_high,-0.2193,40,40.0
2292,Tennessee,FH_USACE_ERDC_SEIR,0.18104444444444445,18,40.0
754,Illinois,FH_JHU_IDD_CovidSP,0.06643968253968253,63,40.0
823,Indiana,FH_UVA_Ensemble,0.056305769230769236,52,40.0
966,Kentucky,FH_UCLA_SuEIR,0.1560591836734694,49,40.0
1755,North Carolina,SIkJaun10_hyper7,0.1747806451612903,31,40.0
1926,Oklahoma,FH_IowaStateLW_STEM,0.07830999999999999,40,40.0
