,True Label,Model Name,Mean_Score,rank
95,Surge,USC_SI_kJalpha,-0.1669866666666667,7.0
88,Surge,FH_JHUAPL_Bucky,-0.28874,8.0
90,Surge,FH_Karlen_pypm,-0.31063666666666667,9.0
84,Surge,FH_CU_scenario_low,-0.36342399999999997,10.0
91,Surge,FH_LANL_GrowthRate,-0.48356818181818184,11.0
89,Surge,FH_JHU_IDD_CovidSP,-0.5856047619047619,12.0
82,Surge,FH_COVIDhub_ensemble,-0.6512566666666667,13.0
92,Surge,FH_RobertWalraven_ESG,-0.7950766666666667,14.0
93,Surge,FH_TTU_squider,-0.8249461538461538,15.0
87,Surge,FH_CovidAnalytics_DELPHI,-0.8427033333333332,16.0
