,True Label,Model Name,Mean_Score,rank
82,Surge,FH_COVIDhub_ensemble,0.7528235294117647,7.0
84,Surge,FH_CU_scenario_low,0.7489294117647058,8.0
90,Surge,FH_Karlen_pypm,0.7432529411764706,9.0
80,Surge,FH_BPagano_RtDriven,0.7274705882352941,10.0
91,Surge,FH_LANL_GrowthRate,0.6617941176470589,11.0
92,Surge,FH_RobertWalraven_ESG,0.6545058823529412,12.0
81,Surge,FH_CEID_Walk,0.6395125,13.0
89,Surge,FH_JHU_IDD_CovidSP,0.51898125,14.0
93,Surge,FH_TTU_squider,0.45532941176470587,15.0
87,Surge,FH_CovidAnalytics_DELPHI,0.2245235294117647,16.0
