,State,Week Number,Mean_Similarity
0,Alabama,164,0.6565327759197325
1,Alabama,171,0.5190038461538462
2,Alabama,178,-0.5183516129032258
3,Alabama,185,-0.43539101917255296
4,Alabama,192,0.47992351160443997
5,Alabama,199,0.3175551724137931
6,Alabama,206,0.6418313131313131
7,Alabama,213,0.7100027801179444
8,Alabama,220,-0.0652057142857143
9,Alabama,227,0.4088653875094056
10,Alabama,234,-0.25508918918918916
11,Alabama,241,-0.1134320996441281
12,Alabama,248,-0.3445516709511568
13,Alabama,255,-0.12521315453384418
14,Alabama,262,0.39627482646922724
15,Alabama,269,-0.08959934640522876
16,Alabama,276,0.019889128728414446
17,Alabama,283,0.7035212739893835
18,Alabama,290,0.45977684120902507
19,Alabama,297,0.6539780425531915
20,Alabama,304,0.6956479387514724
21,Alabama,311,-0.09490347222222223
22,Alabama,318,0.9680925402434236
23,Alabama,325,0.48686148814390845
24,Alabama,332,0.7428429727427598
25,Alabama,339,0.2362116785079929
26,Alabama,346,-0.30696918480580454
27,Alabama,353,0.6586290388548057
28,Alabama,360,0.3092674884437596
29,Alabama,367,0.7008344503473641
30,Alabama,374,0.27534685457516345
31,Alabama,381,0.881480839231547
32,Alabama,388,0.9177285622179239
33,Alabama,395,0.9483650083845724
34,Alabama,402,0.8851005558643691
35,Alabama,409,0.9457643827525104
36,Alabama,416,0.9087463727678572
37,Alabama,423,0.8209338227848101
38,Alabama,430,0.7832720223010644
39,Alabama,437,0.7432948104956268
40,Alabama,444,0.8391573020527859
41,Alabama,451,0.42668106291997554
42,Alabama,458,0.4200955435516543
43,Alabama,465,0.4277690798376184
44,Alabama,472,0.5468502138057422
45,Alabama,479,0.32434797047970476
46,Alabama,486,0.18695
47,Alabama,493,0.759537576167908
48,Alabama,500,0.27250427089688833
49,Alabama,507,0.42757875080489377
50,Alabama,514,0.3382680888369375
51,Alabama,521,-0.6864195666892349
52,Alabama,528,-0.24795573770491802
53,Alabama,535,0.644110177935943
54,Alabama,542,0.5624132432432432
55,Alabama,549,0.6041851525423728
56,Alabama,556,0.8270302209550963
57,Alabama,563,0.8559022381378693
58,Alabama,570,0.7985215943491423
59,Alabama,577,0.7186929308975377
60,Alabama,584,0.5543105342362679
61,Alabama,591,0.04577428571428572
62,Alabama,598,0.3808821804511278
63,Alabama,605,-0.1386512855209743
64,Alabama,612,0.4349959595959596
65,Alabama,619,0.94030488
66,Alabama,626,0.9007524223602484
67,Alabama,633,0.8775920081967213
68,Alabama,640,0.901315004748338
69,Alabama,647,0.6143914870689655
70,Alabama,654,0.4226719191919192
71,Alabama,661,0.9758873255813953
72,Alaska,164,0.9076670909090909
73,Alaska,171,0.4177022328548644
74,Alaska,178,0.45343411633109615
75,Alaska,185,0.6945779260780287
76,Alaska,192,0.7297296938775509
77,Alaska,199,-0.35689270482603813
78,Alaska,206,0.09194395721925135
79,Alaska,213,0.17716481970096745
80,Alaska,220,-0.026376100086281277
81,Alaska,227,-0.02376048
82,Alaska,234,-0.47055761904761906
83,Alaska,241,0.1316907063197026
84,Alaska,248,0.4910051689860835
85,Alaska,255,-0.5257299827437446
86,Alaska,262,0.46665589478628466
87,Alaska,269,0.7633823723228995
88,Alaska,276,0.08412190514469453
89,Alaska,283,0.8189075626798191
90,Alaska,290,0.056524261874197686
91,Alaska,297,0.8420189293361884
92,Alaska,304,0.13874765471028774
93,Alaska,311,-0.3203611475409836
94,Alaska,318,-0.3496474803149606
95,Alaska,325,-0.43339076042518393
96,Alaska,332,0.7033324255319149
97,Alaska,339,0.16446480820695808
98,Alaska,346,-0.5702524828767123
99,Alaska,353,0.0269164744645799
100,Alaska,360,0.545987306501548
101,Alaska,367,-0.012556706562113091
102,Alaska,374,0.9444890909090908
103,Alaska,381,-0.07346151468315301
104,Alaska,388,0.5645453648915187
105,Alaska,395,0.2525328491620112
106,Alaska,402,0.7366731735159817
107,Alaska,409,-0.5546182567726737
108,Alaska,416,0.19069988551803094
109,Alaska,423,0.5448260094389094
110,Alaska,430,-0.02377142121524202
111,Alaska,437,-0.16332988220706757
112,Alaska,444,-0.21079229368932037
113,Alaska,451,-0.3003867628607277
114,Alaska,458,0.9116600985221676
115,Alaska,465,0.6526367944250872
116,Alaska,472,0.8108814599483204
117,Alaska,479,0.12397977528089889
118,Alaska,486,-0.02698060913705583
119,Alaska,493,0.9905415222305953
120,Alaska,500,0.5381996083550914
121,Alaska,507,0.5888454225352113
122,Alaska,514,-0.5693308151093439
123,Alaska,521,0.661912123493976
124,Alaska,528,0.39084253563390847
125,Alaska,535,-0.11764324925816023
126,Alaska,542,0.5012409712722298
127,Alaska,549,0.6677299046321525
128,Alaska,556,0.601107476635514
129,Alaska,563,0.7041208108108109
130,Alaska,570,-0.2853604361370716
131,Alaska,577,0.7527493237867939
132,Alaska,584,0.5530877272727273
133,Alaska,591,-0.3744104826546003
134,Alaska,598,0.31526061776061776
135,Alaska,605,0.37297778532608694
136,Alaska,612,0.6229962931760741
137,Alaska,619,-0.38433150357995227
138,Alaska,626,-0.6975911111111112
139,Alaska,633,0.3429197168857432
140,Alaska,640,0.09828594491927825
141,Alaska,647,0.6713548004314995
142,Alaska,654,0.7015854969574036
143,Alaska,661,-0.5032520184544406
144,American Samoa,164,1.0
145,American Samoa,171,1.0
146,American Samoa,178,1.0
147,American Samoa,185,1.0
148,American Samoa,192,1.0
149,American Samoa,199,1.0
150,American Samoa,206,1.0
151,American Samoa,213,1.0
152,American Samoa,220,1.0
153,American Samoa,227,1.0
154,American Samoa,234,1.0
155,American Samoa,241,1.0
156,American Samoa,248,1.0
157,American Samoa,255,1.0
158,American Samoa,262,1.0
159,American Samoa,269,1.0
160,American Samoa,276,1.0
161,American Samoa,283,1.0
162,American Samoa,290,1.0
163,American Samoa,297,1.0
164,American Samoa,304,1.0
165,American Samoa,311,1.0
166,American Samoa,318,1.0
167,American Samoa,325,1.0
168,American Samoa,332,1.0
169,American Samoa,339,1.0
170,American Samoa,346,1.0
171,American Samoa,353,1.0
172,American Samoa,360,1.0
173,American Samoa,367,1.0
174,American Samoa,374,1.0
175,American Samoa,381,1.0
176,American Samoa,388,1.0
177,American Samoa,395,1.0
178,American Samoa,402,1.0
179,American Samoa,409,1.0
180,American Samoa,416,1.0
181,American Samoa,423,1.0
182,American Samoa,430,1.0
183,American Samoa,437,1.0
184,American Samoa,444,1.0
185,American Samoa,451,1.0
186,American Samoa,458,1.0
187,American Samoa,465,1.0
188,American Samoa,472,1.0
189,American Samoa,479,1.0
190,American Samoa,486,1.0
191,American Samoa,493,1.0
192,American Samoa,500,1.0
193,American Samoa,507,1.0
194,American Samoa,514,1.0
195,American Samoa,521,1.0
196,American Samoa,528,1.0
197,American Samoa,535,1.0
198,American Samoa,542,1.0
199,American Samoa,549,1.0
200,American Samoa,556,1.0
201,American Samoa,563,1.0
202,American Samoa,570,1.0
203,American Samoa,577,1.0
204,American Samoa,584,1.0
205,American Samoa,591,1.0
206,American Samoa,598,1.0
207,American Samoa,605,1.0
208,American Samoa,612,1.0
209,American Samoa,619,1.0
210,American Samoa,626,1.0
211,American Samoa,633,1.0
212,American Samoa,640,1.0
213,American Samoa,647,1.0
214,American Samoa,654,1.0
215,American Samoa,661,1.0
216,Arizona,164,0.6183512520868114
217,Arizona,171,0.13066317411402156
218,Arizona,178,-0.0024096774193548354
219,Arizona,185,0.612312209889001
220,Arizona,192,0.6661426841574168
221,Arizona,199,0.6749620801733478
222,Arizona,206,0.9301644016227181
223,Arizona,213,0.9678887015177066
224,Arizona,220,0.9272074042553191
225,Arizona,227,0.8751771600300525
226,Arizona,234,0.7619447368421052
227,Arizona,241,-0.23223589743589743
228,Arizona,248,0.23964451571520204
229,Arizona,255,-0.380317461669506
230,Arizona,262,0.03800981936081519
231,Arizona,269,0.4432052739165985
232,Arizona,276,0.38818365422396856
