id,State,dummy,186,193,200,207
US,US,0,1907.9353253847,1968.76850984388,2024.35976070254,2054.03152244846
45,Alaska,0,1.24869967950358,1.22836764208825,1.14074156511531,1.26672353216523
47,Alabama,0,20.1295072458527,20.084018269194,19.9671050601416,20.052445418613
39,Arkansas,0,44.9653194685001,45.1788580556715,45.6034738712262,44.7849020228263
3,Arizona,0,73,76,76,75
2,California,0,41.4859792778736,42.2876285025985,41.9293549114514,42.8285886461473
17,Colorado,0,29,33,35,36.5
33,Connecticut,0,10.1332103011171,10.0285478089975,10.134016946646,9.98342501151568
28,District of Columbia,0,1.04279074215095,1.07046496869627,1.09632300479951,1.05936861203686
40,Delaware,0,0.919568004813059,0.982478115684367,0.946763459334808,0.949408024606935
10,Florida,0,79.8073907403417,80.0102159666047,80.0297747266026,79.8044069938958
13,Georgia,0,43.9349930604768,44.2323480488072,44.3430544299009,43.8650837060581
21,Hawaii,0,0.737523743324748,0.644376814573454,0.727338867970629,0.632938346503968
34,Iowa,0,71.334479682892,71.8507015581279,72.3350091219636,71.544178938579
48,Idaho,0,4.95990992607021,5.01977421219094,4.95679239429304,4.86165092130607
1,Illinois,0,35,40,46,52
22,Indiana,0,50,58,66,75
29,Kansas,0,44,46,44.5,41
23,Kentucky,0,35.9,37.9,40.9,42.9
35,Louisiana,0,41.440412316717,41.7812384883052,42.3567348740119,41.6161284007557
4,Massachusetts,0,40.1241714459638,39.4338478273216,41.2349258193948,39.4518680456621
18,Maryland,0,20,26,33,41
46,Maine,0,2.67206918559307,2.60931682577495,2.50831276801317,2.64566166276016
37,Michigan,0,63.5910515109374,63.6513699381292,64.1536130392674,64.0636691720135
24,Minnesota,0,30,32,33,32
30,Missouri,0,62,61,60,58
41,Mississippi,0,31.6,34.6,36.6,38.6
49,Montana,0,22.5,22.5,20.5,18.5
15,North Carolina,0,34,37,40,43
43,North Dakota,0,2.70545988713039,3.36120597348951,2.88295470733319,2.92229313795038
7,Nebraska,0,51.5,53.5,50.5,44.5
14,New Hampshire,0,4.59403567918039,4.32401250341598,4.44962637873906,4.30886165196214
16,New Jersey,0,45,48,52,55
42,New Mexico,0,4.39146447474301,4.22665980116394,4.22272523564532,4.102478585629
19,Nevada,0,10.0502058429885,9.9119994115874,9.95544390416265,10.1321438160268
11,New York,0,31,36,42,48.5
36,Ohio,0,34.1044834341426,34.104893614821,34.1828042637317,33.9883727401293
25,Oklahoma,0,92,89,80.5,68
9,Oregon,0,2.42781351226123,2.40591094880872,2.47747085084407,2.44819773118622
26,Pennsylvania,0,82.9058060298991,82.3515406739231,82.8045615045775,83.5402333180061
50,Puerto Rico,0,6.31433503588041,5.97893212901668,6.05964998375213,6.17693677053116
12,Rhode Island,0,0.652049536876137,0.625926281793587,0.717245368745099,0.71692854032712
27,South Carolina,0,22,24,26,28
38,South Dakota,0,16,15,13,10
20,Tennessee,0,48,55,62,68
6,Texas,0,426.328177566463,422.251289852509,422.800953978561,422.276983008069
8,Utah,0,7.94622070825656,7.74242185450846,7.94644716297935,8.00254845156924
32,Virginia,0,40,39,39,38
51,Virgin Islands,0,0.671573914365154,0.633875255170641,0.6744353163719,0.670843770755953
31,Vermont,0,1.24664080811068,1.22305979766899,1.26020735860258,1.13811124902876
0,Washington,0,5.65539386879213,5.17408170476565,5.19172700585009,5.19353978742295
5,Wisconsin,0,25.7265457781426,26.0808272736087,25.4550057336129,26.0300184318559
53,West Virginia,0,20,34,52,68
44,Wyoming,0,3.00283043735599,3.06266536075782,3.11635545449383,3.00955595030907
